battery_id,discharge_cycle_index,ambient_temperature_C,capacity_Ah,SoH_pct,voltage_mean,voltage_min,voltage_max,current_mean,current_min,temperature_mean,temperature_max,discharge_duration_s,base_predicted_soh,residual_correction,adapted_predicted_soh
CALCE_CS2_35,1,40.05009857006917,1.1005,100.05,3.641,2.678,4.183,-2.168,-2.243,42.33,46.86,1789.1,83.85,15.74,99.58
CALCE_CS2_35,2,40.0692896418994,1.0954,99.58,3.642,2.687,4.174,-2.177,-2.258,42.66,46.72,1774.4,83.67,15.57,99.23
CALCE_CS2_35,3,39.8639950556843,1.0973,99.76,3.654,2.666,4.183,-2.17,-2.249,42.71,46.91,1801.0,83.58,15.74,99.32
CALCE_CS2_35,4,40.0464507394322,1.0997,99.97,3.651,2.679,4.185,-2.129,-2.224,42.66,47.06,1807.1,83.55,15.74,99.29
CALCE_CS2_35,5,40.058614494659736,1.089,99.0,3.644,2.667,4.18,-2.169,-2.246,42.43,46.94,1776.2,83.51,15.45,98.96
CALCE_CS2_35,6,39.85712971639472,1.087,98.82,3.644,2.663,4.186,-2.097,-2.249,42.42,46.96,1752.8,83.55,15.05,98.6
CALCE_CS2_35,7,40.37315490222896,1.0941,99.47,3.654,2.668,4.173,-2.14,-2.277,42.63,46.76,1784.9,83.51,15.62,99.13
CALCE_CS2_35,8,40.09476658418236,1.0881,98.92,3.634,2.658,4.17,-2.146,-2.235,43.01,46.8,1784.5,83.19,15.49,98.68
CALCE_CS2_35,9,39.76173930055947,1.08,98.18,3.645,2.661,4.167,-2.167,-2.237,42.84,46.6,1752.4,83.09,14.94,98.03
CALCE_CS2_35,10,40.13131072172676,1.0831,98.46,3.636,2.653,4.182,-2.136,-2.207,42.59,47.57,1774.2,83.14,15.09,98.23
CALCE_CS2_35,11,39.805063665954535,1.0761,97.83,3.635,2.683,4.178,-2.162,-2.256,42.95,46.7,1760.8,83.05,14.61,97.66
CALCE_CS2_35,12,40.15741692074849,1.0742,97.65,3.647,2.662,4.174,-2.148,-2.246,41.89,46.89,1763.5,83.05,14.54,97.58
CALCE_CS2_35,13,40.23171911580148,1.0758,97.8,3.643,2.654,4.175,-2.099,-2.245,43.1,46.91,1761.5,83.03,14.54,97.58
CALCE_CS2_35,14,39.83586353632966,1.0631,96.64,3.641,2.661,4.167,-2.152,-2.218,42.26,47.42,1729.8,83.05,13.44,96.49
CALCE_CS2_35,15,40.19267522584887,1.0621,96.55,3.645,2.656,4.185,-2.127,-2.252,42.69,47.09,1749.9,83.09,13.51,96.6
CALCE_CS2_35,16,40.0825561853873,1.066,96.91,3.631,2.654,4.173,-2.164,-2.244,42.48,47.57,1742.7,83.04,13.68,96.72
CALCE_CS2_35,17,40.1644120319989,1.0618,96.53,3.636,2.661,4.172,-2.151,-2.238,42.45,47.02,1737.2,83.03,13.66,96.69
CALCE_CS2_35,18,40.37935859653079,1.0665,96.95,3.625,2.661,4.175,-2.115,-2.246,43.21,47.33,1735.9,83.08,13.66,96.74
CALCE_CS2_35,19,39.95092237679943,1.0585,96.23,3.63,2.646,4.173,-2.163,-2.259,42.74,47.02,1727.6,83.25,13.01,96.26
CALCE_CS2_35,20,39.849252767128505,1.054,95.82,3.625,2.644,4.171,-2.114,-2.246,43.0,47.94,1715.9,83.23,12.73,95.96
CALCE_CS2_35,21,39.82209711407489,1.0665,96.96,3.626,2.646,4.166,-2.136,-2.229,42.91,46.97,1743.5,83.05,13.65,96.7
CALCE_CS2_35,22,39.83683794300691,1.0562,96.01,3.63,2.624,4.171,-2.161,-2.271,43.08,47.44,1745.4,83.05,12.99,96.04
CALCE_CS2_35,23,39.98457965811718,1.0557,95.98,3.614,2.63,4.178,-2.137,-2.247,42.98,47.57,1713.8,82.99,12.88,95.88
CALCE_CS2_35,24,40.06823039496333,1.0464,95.12,3.642,2.658,4.175,-2.131,-2.264,42.6,47.52,1696.1,83.03,12.29,95.32
CALCE_CS2_35,25,40.055338159866,1.0489,95.35,3.61,2.659,4.175,-2.138,-2.226,43.3,47.37,1731.1,83.03,12.43,95.46
CALCE_CS2_35,26,40.165436649807205,1.0503,95.48,3.607,2.639,4.164,-2.181,-2.28,42.87,47.41,1716.5,83.05,12.39,95.44
CALCE_CS2_35,27,40.00260037837558,1.0421,94.73,3.629,2.645,4.162,-2.165,-2.261,42.57,47.49,1698.5,83.03,11.92,94.95
CALCE_CS2_35,28,40.29070681543146,1.0478,95.26,3.624,2.641,4.165,-2.155,-2.242,42.93,47.46,1725.0,83.01,12.2,95.22
CALCE_CS2_35,29,39.94706863335241,1.041,94.64,3.621,2.667,4.166,-2.151,-2.219,43.53,47.81,1697.5,83.01,11.7,94.71
CALCE_CS2_35,30,40.544033833317926,1.0407,94.61,3.62,2.646,4.17,-2.138,-2.251,43.36,48.21,1721.3,83.02,11.72,94.75
CALCE_CS2_35,31,40.125133469553,1.0373,94.3,3.613,2.632,4.156,-2.146,-2.261,43.02,47.41,1704.2,83.03,11.63,94.66
CALCE_CS2_35,32,39.82856848871674,1.0477,95.24,3.603,2.622,4.172,-2.177,-2.212,43.04,47.19,1709.5,83.04,12.23,95.27
CALCE_CS2_35,33,39.785821500387776,1.0365,94.23,3.611,2.614,4.163,-2.142,-2.279,43.06,47.6,1717.7,83.04,11.58,94.62
CALCE_CS2_35,34,40.09649448304864,1.0294,93.58,3.602,2.631,4.161,-2.138,-2.294,43.8,48.42,1678.4,82.74,11.01,93.75
CALCE_CS2_35,35,39.95530744293483,1.037,94.27,3.618,2.62,4.157,-2.139,-2.241,43.31,47.43,1704.2,82.51,11.67,94.18
CALCE_CS2_35,36,40.14280009881842,1.0249,93.17,3.605,2.612,4.154,-2.128,-2.26,43.35,48.19,1680.1,82.52,10.86,93.38
CALCE_CS2_35,37,40.09464752491471,1.0302,93.65,3.597,2.618,4.166,-2.133,-2.27,43.55,48.23,1698.8,82.05,11.73,93.79
CALCE_CS2_35,38,39.98543421746862,1.0175,92.5,3.601,2.612,4.161,-2.141,-2.236,43.33,47.58,1680.6,82.09,10.8,92.89
CALCE_CS2_35,39,39.83064125638632,1.0188,92.62,3.607,2.638,4.154,-2.151,-2.245,43.2,47.95,1667.4,81.74,11.16,92.89
CALCE_CS2_35,40,39.69703055506282,1.0246,93.14,3.596,2.629,4.154,-2.183,-2.261,43.24,48.29,1669.0,81.74,11.44,93.17
CALCE_CS2_35,41,39.9106970095866,1.0254,93.22,3.593,2.618,4.158,-2.141,-2.276,43.3,47.71,1682.6,81.74,11.4,93.13
CALCE_CS2_35,42,40.17127975886469,1.0208,92.8,3.602,2.632,4.167,-2.146,-2.233,43.33,47.79,1663.6,81.74,11.27,93.01
CALCE_CS2_35,43,40.04281874882604,1.0175,92.5,3.601,2.616,4.157,-2.145,-2.237,43.58,47.7,1685.1,81.74,10.99,92.73
CALCE_CS2_35,44,39.7508522442576,1.0147,92.25,3.592,2.605,4.15,-2.176,-2.252,43.4,47.6,1661.8,81.74,10.78,92.52
CALCE_CS2_35,45,40.03463618517024,1.007,91.55,3.591,2.628,4.156,-2.172,-2.213,43.62,47.73,1644.2,81.74,10.72,92.46
CALCE_CS2_35,46,40.07706347594577,1.009,91.73,3.597,2.616,4.156,-2.129,-2.271,43.4,47.58,1652.9,81.74,10.89,92.63
CALCE_CS2_35,47,39.823228512759776,1.0085,91.68,3.579,2.599,4.143,-2.151,-2.281,43.46,47.99,1636.7,81.74,10.89,92.63
CALCE_CS2_35,48,40.03074502118911,1.0142,92.2,3.578,2.606,4.156,-2.136,-2.264,42.86,47.77,1649.9,81.74,11.17,92.92
CALCE_CS2_35,49,40.0116417436892,1.0089,91.71,3.584,2.598,4.154,-2.149,-2.251,43.75,48.1,1662.9,81.75,10.78,92.54
CALCE_CS2_35,50,39.77140594043387,0.9965,90.59,3.588,2.591,4.158,-2.149,-2.245,43.6,47.58,1624.1,81.75,10.78,92.54
CALCE_CS2_35,51,40.07155747206966,1.0051,91.38,3.592,2.613,4.164,-2.131,-2.255,43.82,48.17,1634.3,81.75,11.18,92.93
CALCE_CS2_35,52,40.11215690527365,0.9998,90.89,3.602,2.621,4.16,-2.16,-2.243,42.67,48.35,1641.4,81.75,11.07,92.82
CALCE_CS2_35,53,40.21661024863506,0.9965,90.59,3.595,2.587,4.152,-2.148,-2.275,44.19,47.53,1642.5,81.65,10.89,92.54
CALCE_CS2_35,54,40.21076041040698,1.0012,91.02,3.584,2.605,4.147,-2.159,-2.221,43.54,48.26,1645.5,81.27,10.72,91.99
CALCE_CS2_35,55,39.72446612640858,1.0015,91.04,3.584,2.591,4.165,-2.159,-2.252,43.93,48.54,1648.7,81.27,11.28,92.55
CALCE_CS2_35,56,39.812434992016975,0.9992,90.83,3.573,2.591,4.152,-2.156,-2.228,43.31,47.84,1627.5,81.14,11.01,92.14
CALCE_CS2_35,57,40.10300705344173,0.9885,89.87,3.581,2.589,4.152,-2.146,-2.243,43.82,48.73,1603.4,81.14,10.78,91.93
CALCE_CS2_35,58,40.10275719018245,0.9894,89.95,3.578,2.584,4.151,-2.16,-2.241,43.34,48.38,1634.0,81.14,10.78,91.93
CALCE_CS2_35,59,40.10300953726121,0.9908,90.08,3.582,2.592,4.151,-2.125,-2.239,43.49,48.06,1618.1,81.14,10.78,91.93
CALCE_CS2_35,60,40.77054629813095,0.9923,90.21,3.57,2.582,4.149,-2.168,-2.241,44.27,48.28,1621.2,81.12,10.78,91.91
CALCE_CS2_35,61,40.11417810213863,0.9832,89.38,3.582,2.591,4.147,-2.154,-2.237,43.66,48.49,1622.2,81.04,10.78,91.82
CALCE_CS2_35,62,40.22711312803612,0.9829,89.36,3.591,2.586,4.146,-2.159,-2.223,43.81,48.37,1614.0,81.01,10.72,91.73
CALCE_CS2_35,63,40.19080035269864,0.9765,88.78,3.573,2.583,4.148,-2.121,-2.246,44.02,48.54,1602.5,80.87,10.78,91.65
CALCE_CS2_35,64,40.13027825026116,0.9743,88.58,3.577,2.575,4.145,-2.146,-2.236,43.93,48.12,1616.0,80.58,10.72,91.3
CALCE_CS2_35,65,39.93694615107193,0.9826,89.33,3.579,2.577,4.144,-2.129,-2.252,43.85,48.48,1601.5,80.58,10.78,91.36
CALCE_CS2_35,66,40.151793844098655,0.9836,89.42,3.567,2.589,4.148,-2.18,-2.221,43.93,48.03,1618.7,80.6,10.76,91.35
CALCE_CS2_35,67,39.845434957092486,0.9747,88.61,3.572,2.585,4.145,-2.145,-2.264,44.56,48.44,1595.5,80.21,10.89,91.11
CALCE_CS2_35,68,39.952636278652,0.9783,88.94,3.569,2.568,4.154,-2.132,-2.214,43.84,48.23,1603.5,80.21,10.72,90.94
CALCE_CS2_35,69,39.90292729043418,0.9733,88.48,3.568,2.577,4.132,-2.148,-2.251,43.94,48.3,1608.0,80.21,10.78,90.99
CALCE_CS2_35,70,40.016374827877264,0.9666,87.87,3.558,2.583,4.15,-2.129,-2.279,44.22,48.92,1586.7,80.19,10.89,91.08
CALCE_CS2_35,71,40.462931713334704,0.9698,88.17,3.565,2.557,4.151,-2.16,-2.247,44.25,48.9,1592.4,80.25,10.78,91.03
CALCE_CS2_35,72,39.62654696148165,0.974,88.54,3.569,2.577,4.134,-2.122,-2.264,44.3,48.78,1604.5,80.0,10.98,90.98
CALCE_CS2_35,73,40.137252038074905,0.9644,87.67,3.577,2.564,4.142,-2.104,-2.233,44.15,48.3,1574.4,79.76,10.72,90.49
CALCE_CS2_35,74,39.67745682576207,0.9706,88.24,3.571,2.575,4.141,-2.157,-2.263,43.64,48.56,1579.9,79.62,10.98,90.6
CALCE_CS2_35,75,39.90561362684211,0.948,86.18,3.582,2.56,4.135,-2.159,-2.259,44.49,49.04,1540.8,79.59,10.78,90.38
CALCE_CS2_35,76,40.21779011939347,0.9635,87.59,3.551,2.548,4.138,-2.121,-2.288,43.68,48.74,1556.9,79.28,10.89,90.17
CALCE_CS2_35,77,40.012856003819095,0.9581,87.1,3.566,2.548,4.136,-2.118,-2.259,44.13,49.42,1588.3,79.5,10.78,90.28
CALCE_CS2_35,78,39.78445104441414,0.9544,86.77,3.558,2.563,4.15,-2.16,-2.298,43.83,48.87,1550.7,79.44,10.89,90.33
CALCE_CS2_35,79,39.856939258148,0.9547,86.79,3.577,2.564,4.145,-2.158,-2.282,44.06,48.83,1559.9,79.28,10.89,90.17
CALCE_CS2_35,80,40.13591954978693,0.9425,85.69,3.546,2.551,4.146,-2.156,-2.235,44.2,48.71,1539.6,78.98,10.72,89.7
CALCE_CS2_35,81,39.853926673656574,0.9497,86.33,3.544,2.565,4.143,-2.177,-2.234,44.22,48.87,1557.1,78.98,10.76,89.73
CALCE_CS2_35,82,40.0432917179164,0.9508,86.44,3.546,2.54,4.133,-2.168,-2.241,44.27,48.8,1564.1,78.98,10.78,89.76
CALCE_CS2_35,83,40.00911436798077,0.9547,86.79,3.529,2.555,4.136,-2.17,-2.269,44.64,49.09,1570.9,78.36,10.89,89.25
CALCE_CS2_35,84,39.86967993047884,0.9431,85.73,3.544,2.542,4.14,-2.165,-2.251,44.32,49.19,1537.3,78.98,10.78,89.76
CALCE_CS2_35,85,40.42878881786506,0.9399,85.45,3.54,2.546,4.131,-2.151,-2.25,44.13,48.69,1536.3,78.97,10.78,89.76
CALCE_CS2_35,86,40.1267838044636,0.9397,85.43,3.548,2.551,4.141,-2.145,-2.273,44.51,48.55,1540.6,78.98,10.89,89.87
CALCE_CS2_35,87,39.59497148266848,0.9451,85.92,3.549,2.541,4.135,-2.119,-2.22,44.6,48.42,1544.1,78.98,10.82,89.79
CALCE_CS2_35,88,40.03729086295389,0.9405,85.5,3.563,2.544,4.134,-2.17,-2.232,43.89,49.15,1555.1,79.18,10.72,89.9
CALCE_CS2_35,89,39.86764270704632,0.9345,84.96,3.553,2.557,4.139,-2.13,-2.254,44.46,48.69,1534.1,78.98,10.78,89.76
CALCE_CS2_35,90,40.17048666695924,0.9381,85.28,3.536,2.539,4.137,-2.154,-2.249,44.51,48.4,1542.3,78.97,10.78,89.76
CALCE_CS2_35,91,39.84149585231346,0.9343,84.94,3.532,2.552,4.133,-2.151,-2.246,44.23,49.19,1535.5,78.97,10.78,89.76
CALCE_CS2_35,92,39.97705271170662,0.937,85.18,3.545,2.531,4.14,-2.137,-2.291,44.75,49.85,1545.0,78.98,10.89,89.87
